scope	path	kind	said_sha256	said_bkp_sha256	said_old_sha256	relation	canonical_role	behavioral_relevance
top-level	CANDP.PCT	dataset	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	identical-all-three	generated-evidence-not-source	none-no-variant-delta
top-level	CANDP.PS	other	51a98afd2f4c3b7fcacab6eca5be7a5b9d2890ea36f982a0f2c4be92ddc55140	51a98afd2f4c3b7fcacab6eca5be7a5b9d2890ea36f982a0f2c4be92ddc55140	51a98afd2f4c3b7fcacab6eca5be7a5b9d2890ea36f982a0f2c4be92ddc55140	identical-all-three	supporting-evidence	none-no-variant-delta
top-level	CANDP.TBL	other	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	identical-all-three	supporting-evidence	none-no-variant-delta
top-level	EPNEW.DAT	dataset	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	identical-all-three	generated-evidence-not-source	none-no-variant-delta
top-level	EPRSOL.USR	other	8ea8bf04c0ded385009749a6db4e2668affec12647d2cb59b0d9728773dcd7e5	8ea8bf04c0ded385009749a6db4e2668affec12647d2cb59b0d9728773dcd7e5	8ea8bf04c0ded385009749a6db4e2668affec12647d2cb59b0d9728773dcd7e5	identical-all-three	supporting-evidence	none-no-variant-delta
top-level	FA10.dat	dataset	a45295c6111d6c6cab4ba761c574350d82a2ed7c540c7228fe653a0f4e504138	a45295c6111d6c6cab4ba761c574350d82a2ed7c540c7228fe653a0f4e504138	a45295c6111d6c6cab4ba761c574350d82a2ed7c540c7228fe653a0f4e504138	identical-all-three	generated-evidence-not-source	none-no-variant-delta
top-level	GWSI.DAT	dataset	b7cd6a0e684350c29c3edc5fa243d7f47e5d0e152592b54d92a21489a46a1b83	b7cd6a0e684350c29c3edc5fa243d7f47e5d0e152592b54d92a21489a46a1b83	b7cd6a0e684350c29c3edc5fa243d7f47e5d0e152592b54d92a21489a46a1b83	identical-all-three	generated-evidence-not-source	none-no-variant-delta
top-level	JLPIP.DAT	dataset	fc57ad7e42188fcaf11c6630ea4a8ab0cf18e4dfc13a37b5785ce7310307413a	fc57ad7e42188fcaf11c6630ea4a8ab0cf18e4dfc13a37b5785ce7310307413a	fc57ad7e42188fcaf11c6630ea4a8ab0cf18e4dfc13a37b5785ce7310307413a	identical-all-three	generated-evidence-not-source	none-no-variant-delta
top-level	KCM	symlink	1ef718beee2c74716e2800fa0c155302ba2e8058bb897765fade7f078b1a05cd	1ef718beee2c74716e2800fa0c155302ba2e8058bb897765fade7f078b1a05cd	1ef718beee2c74716e2800fa0c155302ba2e8058bb897765fade7f078b1a05cd	identical-all-three	supporting-evidence	none-no-variant-delta
top-level	KCM.100330.tgz	source-archive	b65dae02212b5a46a217a293347b21f25852a98b1d2d8b7c6c7f91735f820249	b65dae02212b5a46a217a293347b21f25852a98b1d2d8b7c6c7f91735f820249	b65dae02212b5a46a217a293347b21f25852a98b1d2d8b7c6c7f91735f820249	identical-all-three	supporting-evidence	medium-historical-comparison
top-level	KCM.100330/ForRon/Log	other	ae1869571e8451fe6e2b7f04d813443dba5dbef4ba4b95b0cf3b1b6bd4ba4ccc	ae1869571e8451fe6e2b7f04d813443dba5dbef4ba4b95b0cf3b1b6bd4ba4ccc	ae1869571e8451fe6e2b7f04d813443dba5dbef4ba4b95b0cf3b1b6bd4ba4ccc	identical-all-three	supporting-evidence	none-no-variant-delta
top-level	KCM.100330/ForRon/cmmT1.ps	other	205cb1dd5c2bedaa9b5b5a0fa4d06e868a9c3b3df6d2ecdfcfbe5c0d15172fea	205cb1dd5c2bedaa9b5b5a0fa4d06e868a9c3b3df6d2ecdfcfbe5c0d15172fea	205cb1dd5c2bedaa9b5b5a0fa4d06e868a9c3b3df6d2ecdfcfbe5c0d15172fea	identical-all-three	supporting-evidence	none-no-variant-delta
top-level	KCM.100330/ForRon/cmmT11.ps	other	757e720f47e32755262debf4c55e91ca2f4d9778fa3a0d8e67272152751bb8f1	757e720f47e32755262debf4c55e91ca2f4d9778fa3a0d8e67272152751bb8f1	757e720f47e32755262debf4c55e91ca2f4d9778fa3a0d8e67272152751bb8f1	identical-all-three	supporting-evidence	none-no-variant-delta
top-level	KCM.100330/ForRon/cmmT110.ps	other	dda294fc1a1096c3602500f53d006a8bced774f03c9c945e384240c146ca563a	dda294fc1a1096c3602500f53d006a8bced774f03c9c945e384240c146ca563a	dda294fc1a1096c3602500f53d006a8bced774f03c9c945e384240c146ca563a	identical-all-three	supporting-evidence	none-no-variant-delta
top-level	KCM.100330/ForRon/cmmT14.ps	other	1a299a3321fb1bce8365074fd24c44bbeed1e7551ddc8377536b5a2b8068283e	1a299a3321fb1bce8365074fd24c44bbeed1e7551ddc8377536b5a2b8068283e	1a299a3321fb1bce8365074fd24c44bbeed1e7551ddc8377536b5a2b8068283e	identical-all-three	supporting-evidence	none-no-variant-delta
top-level	KCM.100330/ForRon/cmmT15.ps	other	219a4da5b4290089b96ee55b7c639417838218366c39d3b727b4505190fc66c6	219a4da5b4290089b96ee55b7c639417838218366c39d3b727b4505190fc66c6	219a4da5b4290089b96ee55b7c639417838218366c39d3b727b4505190fc66c6	identical-all-three	supporting-evidence	none-no-variant-delta
top-level	KCM.100330/ForRon/cmmT16.ps	other	7216f8a73463d91549869fc6a992d66594eb5e5e033919faf6a1481bf7b21a0d	7216f8a73463d91549869fc6a992d66594eb5e5e033919faf6a1481bf7b21a0d	7216f8a73463d91549869fc6a992d66594eb5e5e033919faf6a1481bf7b21a0d	identical-all-three	supporting-evidence	none-no-variant-delta
top-level	KCM.100330/ForRon/cmmT17.ps	other	3aee1189c0547426e69cd83e2244c6f0e71b9c020a4c0de75601bf4d16dd91ad	3aee1189c0547426e69cd83e2244c6f0e71b9c020a4c0de75601bf4d16dd91ad	3aee1189c0547426e69cd83e2244c6f0e71b9c020a4c0de75601bf4d16dd91ad	identical-all-three	supporting-evidence	none-no-variant-delta
top-level	KCM.100330/ForRon/cmmT18.ps	other	f9c7d3705f7561224277267e31e1e22c1a471cfe2c452817f828663a351467c6	f9c7d3705f7561224277267e31e1e22c1a471cfe2c452817f828663a351467c6	f9c7d3705f7561224277267e31e1e22c1a471cfe2c452817f828663a351467c6	identical-all-three	supporting-evidence	none-no-variant-delta
top-level	KCM.100330/ForRon/cmmT19.ps	other	30688890b8037fc33709efb8eee86fa24ed58daf9961945e5869bf270ca7824e	30688890b8037fc33709efb8eee86fa24ed58daf9961945e5869bf270ca7824e	30688890b8037fc33709efb8eee86fa24ed58daf9961945e5869bf270ca7824e	identical-all-three	supporting-evidence	none-no-variant-delta
